Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g),recipe_key
water,3,cups,,0,0,0,0,0
red lentil,1,cup,,687.36,121.15,45.9,4.16,0
rom tomato,1,,quartered,-,-,-,-,0
carrot,1,,quartered,52.48,12.26,1.19,0.3,0
onion,1,,quartered,28,6.53,0.77,0.07,0
garlic,4,cloves,quartered,17.88,3.96,0.76,0.06,0
water,1,cup,,0,0,0,0,0
cumin,2,teaspoons,ground,15.75,1.85,0.74,0.93,0
sea salt,1/2,teaspoon,,-,-,-,-,0
black pepper,1/2,teaspoon,cracked,2.88,0.73,0.11,0.03,0
coriander,1/4,teaspoon,ground,1.34,0.24,0.05,0.08,0
vegetable oil,1,tablespoon,,117.23,0,0,13.6,1
onion,1,,diced,60,14.01,1.65,0.15,1
tomato paste,2,tablespoons,,26.24,6.05,1.38,0.15,1
garlic,2,cloves,sliced,8.94,1.98,0.38,0.03,1
chicken stock,2,cups,boiling,172.8,16.94,12.09,5.76,1
cardamom,1/4,teaspoon,ground,1.55,0.34,0.05,0.03,1
bay leaf,1,,,-,-,-,-,1
salt black pepper,to taste,,ground,-,-,-,-,1
green bean carrot,1,package,,-,-,-,-,1
olive oil,1/4,cup,,477.36,0,0,54,2
onion,1,,chopped,60,14.01,1.65,0.15,2
lamb shoulder,1,pound,boneless cut,1139.04,0.9,76.38,92.02,2
salt black pepper,to taste,,ground,-,-,-,-,2
tomato sauce,1,can,,-,-,-,-,2
water,2,cups,,0,0,0,0,2
okra,1,package,thawed,86.36,19.08,4.86,0.71,2
onion,1/2,,minced,14,3.26,0.38,0.03,3
olive oil,1 1/2,teaspoons,,238.68,0,0,27,3
garbanzo bean,1,can,rinsed drained,1133.43,188.75,61.37,18.11,3
cream,1/3,cup,sour,151.8,3.54,1.87,14.83,3
cornmeal,2,tablespoons,,110.41,23.45,2.47,1.09,3
garlic,4,cloves,minced,17.88,3.96,0.76,0.06,3
cumin,1,teaspoon,ground,7.87,0.92,0.37,0.46,3
coriander,1,teaspoon,ground,5.36,0.98,0.22,0.31,3
salt,1/2,teaspoon,,-,-,-,-,3
sauce,3/4,teaspoon,,7.38,0.2,0.38,0.55,3
cornmeal,1/4,cup,,110.41,23.45,2.47,1.09,3
olive oil,2,tablespoons,,238.68,0,0,27,3
hazelnut,2/3,cup,,212.8,32,0,10.67,4
sesame seed,1/2,cup,,684,31.42,21.37,57.6,4
coriander seed,2,tablespoons,,29.8,5.49,1.23,1.77,4
cumin seed,2,tablespoons,,45,5.3,2.13,2.67,4
black pepper,2,tablespoons,ground,34.63,8.82,1.43,0.44,4
sea salt,1,teaspoon,flaked,-,-,-,-,4
puff pastry,1,package,thawed,-,-,-,-,5
walnut,1/2,cup,chopped,963.56,0,0,109,5
pecan,1,cup,chopped,286.34,53.66,5.89,6.03,5
hazelnut,1,cup,chopped,319.2,48,0,16,5
raisin,1,cup,,498.3,131.2,5.59,0.75,5
coconut,1,cup,flaked,283.2,12.18,2.66,26.79,5
white sugar,1 1/4,cups,divided,967.5,249.95,0,0,5
milk,4,cups,,595.36,46.65,30.74,31.91,5
heavy cream,1/2,cup,,204,1.64,1.7,21.64,5
chicken broth,4,cups,,312.48,7.56,44.55,10.48,6
white rice,2,tablespoons,,84.4,18.48,1.64,0.15,6
butter,1,tablespoon,,85.5,3.92,2.67,7.2,6
sunflower seed oil,1/3,cup,,266.4,10.3,9.02,23.08,6
onion,2,,chopped,128,29.88,3.52,0.32,6
yogurt,1,container,,103.7,7.92,5.89,5.52,6
lemon juice,2,tablespoons,,6.71,2.1,0.1,0.07,6
salt,to taste,,,-,-,-,-,6
purpose flour,2,tablespoons,,-,-,-,-,6
pine nut,1,tablespoon,toasted,56.78,1.1,1.15,5.76,6
vegetable broth,1 1/4,cups,,202.95,32.9,7.44,4.79,7
water,1 1/4,cups,,0,0,0,0,7
pearl couscous,2,cups,,-,-,-,-,7
salt,1,pinch,,-,-,-,-,7
black pepper,1,pinch,ground,0.36,0.09,0.01,0,7
olive oil,5,tablespoons,divided,596.7,0,0,67.5,7
pine nut,1/2,cup,,454.27,8.82,9.24,46.14,7
garlic,4,cloves,minced,17.88,3.96,0.76,0.06,7
shallot,1,,minced,115.2,26.88,4,0.16,7
black olive,1/2,cup,sliced,-,-,-,-,7
tomato oil,1/3,cup,sun-dried drained chopped packed,82.5,15,2.15,1.57,7
vegetable broth,1,cup,,202.95,32.9,7.44,4.79,7
flat leaf parsley,1/4,cup,chopped,-,-,-,-,7
fava bean,1,can,,766.86,131.08,58.74,3.44,8
olive oil,1 1/2,tablespoons,,179.01,0,0,20.25,8
onion,1,,chopped,60,14.01,1.65,0.15,8
tomato,1,,diced,32.76,7.07,1.6,0.36,8
cumin,1,teaspoon,ground,7.87,0.92,0.37,0.46,8
parsley,1/4,cup,chopped,5.4,0.94,0.44,0.11,8
lemon juice,1/4,cup,,13.42,4.2,0.21,0.14,8
salt pepper,to taste,,,-,-,-,-,8
red pepper,,,ground,-,-,-,-,8
chickpea,1,can,drained rinsed,1133.43,188.75,61.37,18.11,9
red wine vinegar,1/4,cup,,11.35,0.16,0.02,0,9
coriander,1,teaspoon,ground,5.36,0.98,0.22,0.31,9
cayenne pepper,1,teaspoon,ground,5.72,1.01,0.21,0.31,9
cumin,1/2,teaspoon,ground,3.93,0.46,0.18,0.23,9
ditalini pasta,1/2,package,,-,-,-,-,9
grain rice,1 1/2,cups,rinsed,-,-,-,-,9
cold water,,,,-,-,-,-,9
dark brown lentil,1 1/2,cups,,-,-,-,-,9
water,,,,-,-,-,-,9
salt black pepper,1 to taste,pinch,ground,-,-,-,-,9
olive oil,1,tablespoon,,119.34,0,0,13.5,9
yellow onion,1,,minced,114.84,6.83,0.82,9.39,9
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,9
tomato,1,can,crushed,62.06,13.76,3.23,0.53,9
butter,1,tablespoon,,85.5,3.92,2.67,7.2,9
chicken stock,3,cups,,259.2,25.41,18.14,8.64,9
french onion,1,can,fried,-,-,-,-,9
water,6,cups,divided,0,0,0,0,10
wheat berry,1,cup,,-,-,-,-,10
milk,1/4,cup,,37.21,2.91,1.92,1.99,10
almond,1/4,cup,,481.78,0,0,54.5,10
cinnamon,1/2,teaspoon,ground,-,-,-,-,10
