Recipe Title,Region,Country,Servings,Calories (KCal),Protein (g),Fat (g),More Info,primary_key
Egyptian Lentil Soup,Middle Eastern,Egyptian,4,805.69,49.55,5.65,more info,0
Egyptian Green Beans with Carrots,Middle Eastern,Egyptian,4,386.76,15.56,19.72,more info,1
Egyptian Bamia,Middle Eastern,Egyptian,4,1762.76,82.9,146.89,more info,2
Magpie's Easy Falafel Cakes,Middle Eastern,Egyptian,3,1686.82,67.85,62.48,more info,3
Dukkah,Middle Eastern,Egyptian,24,1006.23,26.18,73.17,more info,4
Om Ali,Middle Eastern,Egyptian,8,4117.46,46.59,212.15,more info,5
Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk),Middle Eastern,Egyptian,4,1043.98,68.58,52.6,more info,6
Couscous with Olives and Sun-Dried Tomato,Middle Eastern,Egyptian,4,1469.86,23.61,120.24,more info,7
Fava Bean Breakfast Spread,Middle Eastern,Egyptian,6,1065.33,63.02,24.93,more info,8
Koshary,Middle Eastern,Egyptian,8,1814.17,87.48,58.29,more info,9
Egyptian Wheat Porridge (Belila),Middle Eastern,Egyptian,6,518.99,1.92,56.49,more info,10
Fava Beans in Tahini Sauce,Middle Eastern,Egyptian,4,1409.67,75.17,55.53,more info,11
Egyptian Feta Cheese Omelet Roll,Middle Eastern,Egyptian,2,483.46,29.39,38.8,more info,12
Quick and Easy Egyptian Chicken Broth,Middle Eastern,Egyptian,4,1223.61,90.7,82.88,more info,13
Dukka,Middle Eastern,Egyptian,4,1493.06,6.76,160.79,more info,14
Balah el Sham (Egyptian Choux Pastry),Middle Eastern,Egyptian,40,10481.35,25.14,1000.02,more info,15
Egyptian Rose Leaves,Middle Eastern,Egyptian,36,1521.06,12.56,77.84,more info,16
Kofta,Middle Eastern,Egyptian,4,1032.75,93.08,62.67,more info,17
Umm Ali,Middle Eastern,Egyptian,8,2606.78,51.31,138.29,more info,18
Egyptian Koshari,Middle Eastern,Egyptian,4,918.99,15.92,28.92,more info,19
Saboob (Egyptian Flatbread),Middle Eastern,Egyptian,8,230.97,5.76,19.48,more info,20
Ta'ameya (Egyptian Falafel),Middle Eastern,Egyptian,10,2650.69,133.25,128.54,more info,21
Egyptian Koshary,Middle Eastern,Egyptian,12,2188.12,55.44,20.97,more info,22
Fried Katayef (Egyptian Dessert),Middle Eastern,Egyptian,8,6183.77,3.17,611.86,more info,23
The Perfect Egyptian Rice with Vermicelli,Middle Eastern,Egyptian,3,329.52,4.47,20.8,more info,24
Egyptian Meatballs,Middle Eastern,Egyptian,24,1922.39,120.96,92.2,more info,25
Egyptian Lahma Bil Basal (Beef in Rich Onion Sauce),Middle Eastern,Egyptian,4,1021.17,33.71,55.23,more info,26
Fried Cauliflower (Egyptian Style),Middle Eastern,Egyptian,4,3904.84,10.02,443.79,more info,27
Iranian _ Persian Salad Shirazi,Middle Eastern,Rest Middle Eastern,4,615.2,13.47,43,more info,28
Pomegranate Stew with Chicken (Khoresh Fesenjan),Middle Eastern,Rest Middle Eastern,6,4413.83,114.67,365.37,more info,29
